channel,total_spend,avg_roas,avg_lcr,avg_ltv,avg_repeat_rate,composite_score,current_budget_pct,recommended_budget_pct,budget_shift_pp
paid search,259158.0,0.3605968171703889,0.38736487348764687,69.04466666402662,0.3261848372006855,0.726,9.9,24.8,14.9
search,154149.0,0.22110973591339192,0.3852985973701166,71.25532453266595,0.3228970083075034,0.539,5.9,18.4,12.5
display,143573.0,0.17329804744242647,0.3266448003087015,87.21027886497065,0.3332047076982443,0.5,5.5,17.1,11.6
paid social,420078.0,0.25039030362419823,0.3456174399537905,70.85268000409805,0.304368972684156,0.426,16.0,14.6,-1.4
email,338643.0,0.15080347156567342,0.40289334134804067,65.92138589425795,0.3086448869704704,0.4,12.9,13.7,0.8
affiliate,1120530.0,0.11325795089392271,0.34497181953255723,66.76210824671004,0.34449390212792985,0.276,42.7,9.4,-33.3
influencer,188520.0,0.15512296379424811,0.3121129574775507,63.342629089187334,0.2770261595811479,0.059,7.2,2.0,-5.2
